Date,Open,High,Low,Close,Adj Close,Volume
2007-12-31,73.000000,73.709999,72.389999,72.559998,46.466225,2639600
2008-01-02,72.559998,72.669998,70.050003,70.629997,45.230289,6337800
2008-01-03,71.010002,71.489998,69.940002,70.379997,45.070179,4385900
2008-01-04,69.650002,69.940002,68.099998,68.529999,43.885479,7697200
2008-01-07,69.000000,69.129997,67.800003,68.730003,44.013557,8790400
2008-01-08,68.940002,69.489998,67.040001,67.150002,43.001740,7662300
2008-01-09,67.120003,67.260002,65.250000,67.230003,43.052986,9845500
2008-01-10,66.599998,68.199997,65.540001,67.410004,43.168236,6914600
2008-01-11,67.800003,68.330002,66.000000,66.010002,42.271709,9247500
2008-01-14,66.730003,67.500000,65.839996,67.269997,43.078594,8106700
2008-01-15,66.360001,66.730003,65.220001,65.400002,41.881081,9353400
2008-01-16,65.209999,66.199997,63.900002,64.269997,41.157440,13079600
2008-01-17,64.330002,64.830002,62.139999,62.470001,40.230110,11011400
2008-01-18,63.029999,65.050003,62.299999,62.810001,40.449055,9225400
2008-01-22,59.599998,64.449997,59.599998,63.820000,41.099495,9870200
2008-01-23,62.560001,65.190002,61.189999,65.080002,41.910908,10896500
2008-01-24,65.300003,65.970001,64.209999,65.250000,42.020390,8160300
2008-01-25,67.650002,67.750000,65.110001,65.930000,42.458302,9286700
2008-01-28,66.690002,68.629997,64.970001,68.209999,43.926609,10984100
2008-01-29,68.779999,69.620003,68.489998,68.989998,44.428909,8283600
2008-01-30,68.830002,70.470001,68.290001,68.440002,44.074711,7904500
2008-01-31,67.510002,71.639999,67.500000,70.989998,45.716896,8826800
2008-02-01,71.150002,72.169998,70.599998,71.760002,46.212772,6526400
2008-02-04,71.779999,71.980003,70.599998,70.949997,45.691120,4565300
2008-02-05,69.839996,70.099998,67.519997,67.519997,43.482250,11709400
2008-02-06,68.120003,69.050003,67.550003,67.980003,43.778488,7305000
2008-02-07,67.550003,68.900002,67.320000,68.320000,43.997448,6506000
2008-02-08,68.089996,68.690002,67.620003,68.010002,43.797806,4496000
2008-02-11,68.120003,69.430000,67.559998,69.419998,44.705837,4979000
2008-02-12,69.980003,71.260002,69.610001,70.000000,45.079350,6703400
2008-02-13,70.610001,71.910004,70.150002,71.650002,46.141937,7502000
2008-02-14,71.529999,71.989998,70.190002,70.440002,45.362705,5418800
2008-02-15,70.000000,70.339996,69.180000,69.949997,45.047150,5355800
2008-02-19,70.610001,71.110001,69.860001,70.400002,45.336952,5415300
2008-02-20,69.930000,71.500000,69.459999,71.250000,45.884331,4717500
2008-02-21,71.989998,72.180000,70.550003,70.790001,45.588097,5371200
2008-02-22,70.949997,71.650002,69.820000,71.180000,45.839260,5231500
2008-02-25,71.250000,72.330002,70.629997,72.250000,46.528339,5190100
2008-02-26,72.000000,73.760002,71.779999,73.300003,47.204521,6203900
2008-02-27,73.000000,75.190002,72.529999,74.220001,47.797005,7163300
2008-02-28,73.830002,74.699997,73.150002,74.389999,47.906464,6024500
2008-02-29,73.769997,74.339996,72.000000,72.330002,46.579842,8823500
2008-03-03,72.099998,73.610001,72.099998,73.199997,47.140121,6104700
2008-03-04,72.669998,72.879997,70.470001,71.739998,46.199890,7998400
2008-03-05,72.019997,72.769997,70.889999,71.849998,46.270733,7258800
2008-03-06,71.639999,71.839996,70.639999,70.750000,45.562363,5442600
2008-03-07,70.040001,71.110001,68.900002,69.839996,44.976322,6961000
2008-03-10,70.000000,70.309998,68.300003,68.720001,44.255047,7146000
2008-03-11,69.519997,72.730003,69.519997,72.610001,46.760162,7690800
2008-03-12,73.800003,76.639999,73.750000,75.250000,48.460289,14346200
2008-03-13,74.269997,76.050003,73.330002,75.669998,48.730785,8559700
2008-03-14,76.500000,76.800003,73.480003,74.790001,48.164074,8571100
2008-03-17,72.870003,75.220001,72.510002,74.459999,47.951546,8913600
2008-03-18,75.720001,76.870003,74.629997,76.870003,49.503555,9404400
2008-03-19,76.620003,77.000000,73.730003,73.730003,47.481438,7377400
2008-03-20,74.110001,74.279999,72.800003,73.820000,47.539394,9254000
